	Index	_1	x	y	mass	frame	particle
97	1838	28261	1476.1734693877552	808.8727490996397	819.3433954861882	1838	2966.0
98	1839	28262	1475.8488160291436	809.842744383728	734.7302650689603	1839	2966.0
99	1840	28263	1476.007874015748	811.2850393700787	886.1401215480298	1840	2966.0
100	1841	28264	1475.5285786545269	811.7435508345977	1000.4057124000481	1841	2966.0
101	1842	28265	1475.3140214216164	811.9542356377799	955.3482298601401	1842	2966.0
102	1843	28266	1475.639466666667	812.288	904.0946665964003	1843	2966.0
103	1844	28267	1475.5710754017307	813.3300370828183	766.0754835753434	1844	2966.0
104	1845	28268	1476.1701534170154	814.1975825197583	1082.7172126082164	1845	2966.0
105	1846	28269	1476.0108385624646	814.9806046776953	895.0731138059773	1846	2966.0
106	1847	28270	1476.3108365019013	815.8189163498099	1109.9962242688332	1847	2966.0
107	1848	28271	1475.7809684684687	817.2291666666665	891.317629943218	1848	2966.0
108	1849	28272	1475.5005530973453	818.1786504424779	887.9327161601033	1849	2966.0
109	1850	28273	1475.1979999999999	818.8739999999999	751.6576751380419	1850	2966.0
110	1851	28274	1474.862464183381	818.9472779369628	869.3709098617493	1851	2966.0
111	1852	28275	1474.2867092280906	820.2518862449216	799.44622116506	1852	2966.0
112	1853	28276	1474.8942985265853	820.5265855221013	746.5777977140925	1853	2966.0
113	1854	28277	1475.192513368984	820.5775401069519	753.5162900589792	1854	2966.0
114	1855	28278	1474.820427236315	820.9425901201602	725.4871017343207	1855	2966.0
115	1856	28279	1474.2320107599194	821.0242098184264	749.9781767759282	1856	2966.0
116	1857	28280	1474.4873622812702	821.7569669475049	732.8403944690567	1857	2966.0
117	1858	28281	1474.7008310249307	822.6980609418283	831.881872637954	1858	2966.0
118	1859	28282	1474.7359426681369	823.0975744211688	858.4003581207248	1859	2966.0
119	1860	28283	1474.7619596541788	823.3527377521614	835.249829258468	1860	2966.0
120	1861	28284	1475.577036310108	824.9489695780177	873.1274242664314	1861	2966.0
121	1862	28285	1474.8983501862692	825.0420436402342	941.307548134176	1862	2966.0
122	1863	28286	1474.4873096446697	825.0941906373378	892.9124052060782	1863	2966.0
123	1864	28287	1473.5118541033435	824.8164133738603	809.3075024790663	1864	2966.0
124	1865	28288	1473.1109224674592	824.9615166949633	871.0287447030178	1865	2966.0
125	1866	28289	1472.2443746729462	825.1355311355312	949.4883533552972	1866	2966.0
126	1867	28290	1471.3888548683406	825.2969993876302	810.2259824840454	1867	2966.0
127	1868	28291	1472.17359134889	826.0085372794538	832.1989625186095	1868	2966.0
128	1869	28292	1471.4193899782135	826.3730936819172	874.7719683830071	1869	2966.0
129	1870	28293	1471.1204744069912	826.8314606741573	803.0124024346202	1870	2966.0
130	1871	28294	1470.9737430167597	827.4759776536313	862.3192886814469	1871	2966.0
131	1872	28295	1470.9725448785641	827.8801478352693	879.1014742600771	1872	2966.0
132	1873	28296	1470.9680340969633	827.957378795951	958.9893136312417	1873	2966.0
133	1874	28297	1471.3031914893618	828.5803191489363	930.4696644584027	1874	2966.0
134	1875	28298	1471.3169251517193	829.7896156439648	731.0578639630087	1875	2966.0
135	1876	28299	1471.249120750293	829.4988276670573	769.1753417627153	1876	2966.0
136	1877	28300	1471.451127819549	830.1745435016112	875.7125100223643	1877	2966.0
137	1878	28301	1471.466447368421	831.4644736842105	739.7431060695552	1878	2966.0
138	1879	28302	1470.6016059295862	831.7381099444101	777.1325435150815	1879	2966.0
